"order_id","order_number","customer_name","customer_email","order_date","total_amount","currency","status","refund_amount"
"#SHF-1001","1001","Sneha Reddy","sneha.reddy68@icloud.com","2026-08-01","3096.52","INR","paid",""
"#SHF-1002","1002","Rohan Nair","rohan.nair21@outlook.com","2026-08-01","5399.52","INR","paid",""
"#SHF-1003","1003","Varun Bhatia","varun.bhatia12@icloud.com","2026-08-01","11493.28","INR","paid",""
"#SHF-1004","1004","Manish Gupta","manish.gupta75@outlook.com","2026-08-02","12964.72","INR","paid",""
"#SHF-1005","1005","Diya Deshmukh","diya.deshmukh29@outlook.com","2026-08-02","8295.02","INR","paid",""
"#SHF-1006","1006","Ananya Sharma","ananya.sharma62@icloud.com","2026-08-03","12484.02","INR","paid",""
"#SHF-1007","1007","Ishaan Patel","ishaan.patel84@yahoo.co.in","2026-08-03","10224.79","INR","paid",""
"#SHF-1008","1008","Arjun Mukherjee","arjun.mukherjee50@gmail.com","2026-08-04","6001.44","INR","paid",""
"#SHF-1009","1009","Meera Chatterjee","meera.chatterjee24@proton.me","2026-08-04","11149.59","INR","partially_refunded","5574.80"
"#SHF-1010","1010","Varun Singhania","varun.singhania58@outlook.com","2026-08-05","9593.20","INR","paid",""
"#SHF-1011","1011","Aditi Verma","aditi.verma98@proton.me","2026-08-05","6690.72","INR","paid",""
"#SHF-1012","1012","Vikram Saxena","vikram.saxena65@yahoo.co.in","2026-08-05","10713.50","INR","paid",""
"#SHF-1013","1013","Kunal Singhania","kunal.singhania75@yahoo.co.in","2026-08-06","8087.67","INR","paid",""
"#SHF-1014","1014","Arjun Mukherjee","arjun.mukherjee48@outlook.com","2026-08-06","1429.21","INR","paid",""
"#SHF-1015","1015","Sneha Deshmukh","sneha.deshmukh85@outlook.com","2026-08-07","4954.36","INR","refunded","4954.36"
"#SHF-1016","1016","Kunal Deshmukh","kunal.deshmukh74@proton.me","2026-08-07","7674.15","INR","paid",""
"#SHF-1017","1017","Vikram Mukherjee","vikram.mukherjee75@icloud.com","2026-08-08","2201.69","INR","paid",""
"#SHF-1018","1018","Dev Malhotra","dev.malhotra57@gmail.com","2026-08-08","11134.16","INR","partially_refunded","5567.08"
"#SHF-1019","1019","Riya Mukherjee","riya.mukherjee49@yahoo.co.in","2026-08-09","10196.65","INR","paid",""
"#SHF-1020","1020","Aditya Joshi","aditya.joshi96@outlook.com","2026-08-09","2850.44","INR","paid",""
"#SHF-1021","1021","Pooja Deshmukh","pooja.deshmukh62@icloud.com","2026-08-10","2993.27","INR","paid",""
"#SHF-1022","1022","Aditi Verma","aditi.verma94@icloud.com","2026-08-10","10782.98","INR","paid",""
"#SHF-1023","1023","Vikram Verma","vikram.verma44@icloud.com","2026-08-10","2477.57","INR","paid",""
"#SHF-1024","1024","Ishaan Verma","ishaan.verma87@yahoo.co.in","2026-08-11","4664.15","INR","paid",""
"#SHF-1025","1025","Simran Singhania","simran.singhania36@outlook.com","2026-08-11","829.57","INR","paid",""
"#SHF-1026","1026","Kavya Singhania","kavya.singhania71@proton.me","2026-08-12","10921.43","INR","paid",""
"#SHF-1027","1027","Manish Mehta","manish.mehta80@icloud.com","2026-08-12","11653.42","INR","partially_refunded","5826.71"
"#SHF-1028","1028","Riya Gupta","riya.gupta91@proton.me","2026-08-13","3973.26","INR","paid",""
"#SHF-1029","1029","Deepak Deshmukh","deepak.deshmukh48@icloud.com","2026-08-13","3543.96","INR","paid",""
"#SHF-1030","1030","Pooja Chatterjee","pooja.chatterjee27@outlook.com","2026-08-14","6904.37","INR","refunded","6904.37"
"#SHF-1031","1031","Pooja Bhatia","pooja.bhatia72@outlook.com","2026-08-14","6654.28","INR","paid",""
"#SHF-1032","1032","Kavya Reddy","kavya.reddy34@proton.me","2026-08-14","11217.78","INR","paid",""
"#SHF-1033","1033","Aditya Singhania","aditya.singhania29@gmail.com","2026-08-15","13761.80","INR","paid",""
"#SHF-1034","1034","Aarav Patel","aarav.patel35@proton.me","2026-08-15","10198.07","INR","paid",""
"#SHF-1035","1035","Pooja Malhotra","pooja.malhotra48@outlook.com","2026-08-16","12723.19","INR","paid",""
"#SHF-1036","1036","Aarav Mehta","aarav.mehta94@outlook.com","2026-08-16","13488.58","INR","partially_refunded","6744.29"
"#SHF-1037","1037","Manish Nair","manish.nair26@outlook.com","2026-08-17","2217.08","INR","paid",""
"#SHF-1038","1038","Siddharth Mehta","siddharth.mehta71@proton.me","2026-08-17","12041.42","INR","paid",""
"#SHF-1039","1039","Neha Joshi","neha.joshi84@gmail.com","2026-08-18","13956.57","INR","paid",""
"#SHF-1040","1040","Diya Deshmukh","diya.deshmukh15@gmail.com","2026-08-18","1982.65","INR","paid",""
